Date,Price,Return
10/03/2022,"1.251,00","-0,34"
11/03/2022,"1.342,00","0,07"
01/04/2022,"2.929,00","1,18"
02/04/2022,"2.432,00","-0,17"
03/04/2022,"2.294,00","-0,06"
04/04/2022,"2.736,00","0,19"
05/04/2022,"2.033,00","-0,26"
08/04/2022,"1.922,00","-0,05"
10/04/2022,"1.317,00","-0,31"
11/04/2022,"1.416,00","0,08"
01/05/2022,"2.760,00","0,95"
04/05/2022,"2.593,00","-0,06"
05/05/2022,"1.884,00","-0,27"
07/05/2022,"1.496,00","-0,21"
08/05/2022,"1.899,00","0,27"
10/05/2022,"1.321,00","-0,30"
12/05/2022,"1.661,00","0,26"
01/06/2022,"2.818,00","0,70"
04/06/2022,"2.441,00","-0,13"
05/06/2022,"1.868,00","-0,23"
06/06/2022,"1.879,00","0,01"
07/06/2022,"1.513,00","-0,19"
09/06/2022,"1.347,00","-0,11"
10/06/2022,"1.313,00","-0,03"
12/06/2022,"1.599,00","0,22"
01/07/2022,"2.725,00","0,70"
02/07/2022,"2.473,00","-0,09"
03/07/2022,"2.135,00","-0,14"
04/07/2022,"2.421,00","0,13"
06/07/2022,"1.893,00","-0,22"
07/07/2022,"1.586,00","-0,16"
09/07/2022,"1.371,00","-0,14"
10/07/2022,"4.624.600,00","3372,16"
11/07/2022,"1.430,00","-1,00"
12/07/2022,"4.637.200,00","3241,80"
02/08/2022,"4.635.100,00","0,00"
03/08/2022,"2.151,00","-1,00"
04/08/2022,"4.637.900,00","2155,16"
06/08/2022,"1.865,00","-1,00"
07/08/2022,"1.584,00","-0,15"
08/08/2022,"1.779,00","0,12"
09/08/2022,"1.399,00","-0,21"
11/08/2022,"1.460,00","0,04"
12/08/2022,"1.717,00","0,18"
02/09/2022,"2.670,00","0,56"
03/09/2022,"4.604.500,00","1723,53"
05/09/2022,"1.695,00","-1,00"
06/09/2022,"4.616.000,00","2722,30"
08/09/2022,"4.628.200,00","0,00"
09/09/2022,"1.439,00","-1,00"
