Date,Price,Return
08/02/2021,"1,19",12.1899
09/02/2021,"1,19",12.1899
11/02/2021,"1,16",12.1899
12/02/2021,"1,13",12.1899
02/03/2021,"1,20",12.1899
03/03/2021,"1,21",12.1899
05/03/2021,"1,21",12.1899
06/03/2021,"1,21",12.1899
08/03/2021,"1,19",12.1899
09/03/2021,"1,19",12.1899
11/03/2021,"1,16",12.1899
12/03/2021,"1,13",12.1899
01/04/2021,"1,22",12.1899
02/04/2021,"1,20",12.1899
03/04/2021,"1,20",12.1899
05/04/2021,"1,20",12.1899
06/04/2021,"1,22",12.1899
08/04/2021,"1,18",12.1899
10/04/2021,"1,16",12.1899
11/04/2021,"1,16",12.1899
01/05/2021,"1,23",12.1899
02/05/2021,"1,20",12.1899
03/05/2021,"1,19",12.1899
04/05/2021,"1,18",12.1899
05/05/2021,"1,20",12.1899
07/05/2021,"1,19",12.1899
08/05/2021,"1,18",12.1899
10/05/2021,"1,16",12.1899
11/05/2021,"1,16",12.1899
01/06/2021,"1,23",12.1899
04/06/2021,"1,19",12.1899
05/06/2021,"1,21",12.1899
07/06/2021,"1,18",12.1899
08/06/2021,"1,18",12.1899
09/06/2021,"1,19",12.1899
10/06/2021,"1,16",12.1899
12/06/2021,"1,13",12.1899
01/07/2021,"1,23",12.1899
04/07/2021,"1,19",12.1899
05/07/2021,"1,22",12.1899
06/07/2021,"1,22",12.1899
07/07/2021,"1,18",12.1899
09/07/2021,"1,18",12.1899
10/07/2021,"1,16",12.1899
12/07/2021,"1,13",12.1899
01/08/2021,"1,22",12.1899
02/08/2021,"1,20",12.1899
03/08/2021,"1,18",12.1899
04/08/2021,"1,19",12.1899
06/08/2021,"1,22",12.1899
07/08/2021,"1,18",12.1899
09/08/2021,"1,18",12.1899
10/08/2021,"1,16",12.1899
11/08/2021,"1,16",12.1899
12/08/2021,"1,13",12.1899
02/09/2021,"1,21",12.1899
03/09/2021,"1,19",12.1899
04/09/2021,"1,19",12.1899
06/09/2021,"1,22",12.1899
07/09/2021,"1,19",12.1899
08/09/2021,"1,17",12.1899
09/09/2021,"1,18",12.1899
11/09/2021,"1,16",12.1899
12/09/2021,"1,13",12.1899
02/10/2021,"1,21",12.1899
03/10/2021,"1,19",12.1899
05/10/2021,"1,21",12.1899
06/10/2021,"1,22",12.1899
08/10/2021,"1,17",12.1899
09/10/2021,"1,18",12.1899
